"from","to"
"Escherichia.coli.PTR","Escherichia.coli.PTR"
"Escherichia.coli.PTR","Klebsiella.aerogenes.abundance"
"Escherichia.coli.PTR","Klebsiella.aerogenes.PTR"
"Escherichia.coli.PTR","Staphylococcus.epidermidis.abundance"
"Escherichia.coli.PTR","Staphylococcus.epidermidis.PTR"
"Escherichia.coli.PTR","Enterococcus.faecium.abundance"
"Escherichia.coli.PTR","Enterococcus.faecium.PTR"
"Escherichia.coli.PTR","Citrobacter.freundii.abundance"
"Escherichia.coli.PTR","Citrobacter.freundii.PTR"
"Escherichia.coli.PTR","Klebsiella.pneumoniae.abundance"
"Escherichia.coli.PTR","Klebsiella.pneumoniae.PTR"
"Escherichia.coli.PTR","Klebsiella.variicola.abundance"
"Escherichia.coli.PTR","Klebsiella.variicola.PTR"
"Escherichia.coli.PTR","Enterobacter.cloacae.abundance"
"Escherichia.coli.PTR","Enterobacter.cloacae.PTR"
"Escherichia.coli.PTR","Bifidobacterium.longum.abundance"
"Escherichia.coli.PTR","Bifidobacterium.longum.PTR"
"Escherichia.coli.PTR","Enterobacter.roggenkampii.abundance"
"Escherichia.coli.PTR","Enterobacter.roggenkampii.PTR"
"Escherichia.coli.PTR","Enterococcus.faecalis.abundance"
"Escherichia.coli.PTR","Enterococcus.faecalis.PTR"
"Escherichia.coli.PTR","Klebsiella.quasipneumoniae.abundance"
"Escherichia.coli.PTR","Klebsiella.quasipneumoniae.PTR"
"Escherichia.coli.PTR","Klebsiella.michiganensis.abundance"
"Escherichia.coli.PTR","Klebsiella.michiganensis.PTR"
"Escherichia.coli.PTR","Clostridium.perfringens.abundance"
"Escherichia.coli.PTR","Clostridium.perfringens.PTR"
"Escherichia.coli.PTR","Klebsiella.oxytoca.abundance"
"Escherichia.coli.PTR","Klebsiella.oxytoca.PTR"
"Escherichia.coli.PTR","Bacteroides.fragilis.abundance"
"Escherichia.coli.PTR","Bacteroides.fragilis.PTR"
"Escherichia.coli.PTR","Enterobacter.hormaechei.abundance"
"Escherichia.coli.PTR","Enterobacter.hormaechei.PTR"
"Escherichia.coli.PTR","Enterobacter.sp..HK169.abundance"
"Escherichia.coli.PTR","Enterobacter.sp..HK169.PTR"
"Escherichia.coli.PTR","Enterobacter.asburiae.abundance"
"Escherichia.coli.PTR","Enterobacter.asburiae.PTR"
"Escherichia.coli.PTR","Klebsiella.sp..M5al.abundance"
"Escherichia.coli.PTR","Klebsiella.sp..M5al.PTR"
"Escherichia.coli.PTR","Veillonella.parvula.abundance"
"Escherichia.coli.PTR","Veillonella.parvula.PTR"
"Escherichia.coli.PTR","Enterobacter.sp..DKU_NT_01.abundance"
"Escherichia.coli.PTR","Enterobacter.sp..DKU_NT_01.PTR"
"Escherichia.coli.PTR","Enterobacter.sp..CRENT.193.abundance"
"Escherichia.coli.PTR","Enterobacter.sp..CRENT.193.PTR"
"Escherichia.coli.PTR","Enterobacteriaceae.bacterium.S05.abundance"
"Escherichia.coli.PTR","Enterobacteriaceae.bacterium.S05.PTR"
"Escherichia.coli.PTR","Citrobacter.abundance"
"Escherichia.coli.PTR","Citrobacter.PTR"
"Escherichia.coli.PTR","ARO.3000319mphC"
"Escherichia.coli.PTR","ARO.3003551emeA"
"Escherichia.coli.PTR","ARO.3003046qacA"
"Escherichia.coli.PTR","ARO.3001057TEM.198"
"Escherichia.coli.PTR","ARO.3004588Klebsiella"
"Escherichia.coli.PTR","ARO.3000804MexF"
"Escherichia.coli.PTR","ARO.3002985arnA"
"Escherichia.coli.PTR","ARO.3004075MuxC"
"Escherichia.coli.PTR","ARO.3004074MuxB"
"Escherichia.coli.PTR","ARO.3002865dfrC"
"Escherichia.coli.PTR","ARO.3002660APH.6..Id"
"Escherichia.coli.PTR","ARO.3003052smeB"
"Escherichia.coli.PTR","ARO.3000936TEM.70"
"Escherichia.coli.PTR","ARO.3000616mel"
"Escherichia.coli.PTR","ARO.3000375ErmB"
"Escherichia.coli.PTR","ARO.3002639APH.3....Ib"
"Escherichia.coli.PTR","ARO.3002819msrC"
"Escherichia.coli.PTR","ARO.3000967TEM.104"
"Escherichia.coli.PTR","ARO.3003047qacB"
"Escherichia.coli.PTR","ARO.3002875dfrE"
"Escherichia.coli.PTR","ARO.3004122Klebsiella"
"Escherichia.coli.PTR","ARO.3000194tetW"
"Escherichia.coli.PTR","ARO.3003056smeE"
"Escherichia.coli.PTR","ARO.3004041Klebsiella"
"Escherichia.coli.PTR","ARO.3000900TEM.30"
"Escherichia.coli.PTR","ARO.3000999TEM.135"
"Escherichia.coli.PTR","ARO.3000873TEM.1"
"Escherichia.coli.PTR","ARO.3001015TEM.148"
"Escherichia.coli.PTR","ARO.3000186tetM"
"Escherichia.coli.PTR","ARO.3000501Nocardia"
"Escherichia.coli.PTR","ARO.3004580Klebsiella"
"Escherichia.coli.PTR","ARO.3004583Klebsiella"
"Escherichia.coli.PTR","ARO.3000263marA"
"Escherichia.coli.PTR","ARO.3000828baeR"
"Escherichia.coli.PTR","ARO.3000491acrD"
"Escherichia.coli.PTR","ARO.3000508gadX"
"Escherichia.coli.PTR","ARO.3000795mdtE"
"Escherichia.coli.PTR","ARO.3000518CRP"
"Escherichia.coli.PTR","ARO.3003550mdtP"
"Escherichia.coli.PTR","ARO.3003549mdtO"
"Escherichia.coli.PTR","ARO.3003548mdtN"
"Escherichia.coli.PTR","ARO.3000829baeS"
"Escherichia.coli.PTR","ARO.3000027emrA"
"Escherichia.coli.PTR","ARO.3003576eptA"
"Escherichia.coli.PTR","ARO.3004612Escherichia"
"Escherichia.coli.PTR","ARO.3004597Klebsiella"
"Escherichia.coli.PTR","ARO.3000412sul2"
"Escherichia.coli.PTR","ARO.3000300lsaA"
"Escherichia.coli.PTR","ARO.3000984TEM.122"
"Escherichia.coli.PTR","ARO.3000990TEM.128"
"Escherichia.coli.PTR","ARO.3000391norA"
"Escherichia.coli.PTR","ARO.3000988TEM.126"
"Escherichia.coli.PTR","ARO.3000026mepA"
"Escherichia.coli.PTR","ARO.3002628aad.6."
"Escherichia.coli.PTR","ARO.3000565tet.38."
"Escherichia.coli.PTR","ARO.3001004TEM.141"
"Escherichia.coli.PTR","ARO.3000832evgA"
"Escherichia.coli.PTR","ARO.3000676H.NS"
"Escherichia.coli.PTR","ARO.3000830cpxA"
"Escherichia.coli.PTR","ARO.3000815mgrA"
"Escherichia.coli.PTR","ARO.3002641APH.3...Ia"
"Escherichia.coli.PTR","ARO.3004572Staphylococcys"
"Escherichia.coli.PTR","ARO.3003773Clostridium"
"Escherichia.coli.PTR","ARO.3000215mecR1"
"Escherichia.coli.PTR","ARO.3000621PC1"
"Escherichia.coli.PTR","ARO.3001329mdtG"
"Escherichia.coli.PTR","ARO.3003730Bifidobacteria"
"Escherichia.coli.PTR","ARO.3002647APH.3...IIIa"
"Escherichia.coli.PTR","ARO.3001327mdtK"
"Escherichia.coli.PTR","ARO.3003838gadW"
"Escherichia.coli.PTR","ARO.3000254emrY"
"Escherichia.coli.PTR","ARO.3000206emrK"
"Escherichia.coli.PTR","ARO.3004667Staphylococcus"
"Escherichia.coli.PTR","ARO.3000924TEM.55"
"Escherichia.coli.PTR","ARO.3004042Enterobacter"
"Escherichia.coli.PTR","ARO.3002830vgaALC"
"Escherichia.coli.PTR","ARO.3001030TEM.164"
"Escherichia.coli.PTR","ARO.3003922oqxA"
"Escherichia.coli.PTR","ARO.3003923oqxB"
"Escherichia.coli.PTR","ARO.3002804FosA2"
"Escherichia.coli.PTR","ARO.3001029TEM.163"
"Escherichia.coli.PTR","ARO.3001032TEM.166"
"Escherichia.coli.PTR","ARO.3000237tolC"
"Escherichia.coli.PTR","ARO.3004611Escherichia"
"Escherichia.coli.PTR","ARO.3003905ANT.4...Ib"
"Escherichia.coli.PTR","ARO.3000903TEM.33"
"Escherichia.coli.PTR","ARO.3001041TEM.176"
"Escherichia.coli.PTR","ARO.3002597AAC.6...Ie.APH.2....Ia"
"Escherichia.coli.PTR","ARO.3001394TEM.217"
"Escherichia.coli.PTR","ARO.3003949efrB"
"Escherichia.coli.PTR","ARO.3000410sul1"
