"","X","Z","Y"
"1","Day_of_Life","PostMenst_Age","Gestational_Age"
"2","CRIB.II.Score","Birthweight","Total.Antibiotic.Days"
"3","CRIB.II.Score","Birthweight","Klebsiella.aerogenes.abundance"
"4","CRIB.II.Score","Birthweight","ARO.3004111FosA6"
"5","Total.Antibiotic.Days","Birthweight","Klebsiella.aerogenes.abundance"
"6","Total.Antibiotic.Days","Birthweight","ARO.3004111FosA6"
"7","Klebsiella.aerogenes.abundance","Birthweight","ARO.3004111FosA6"
"8","Gentamicin","Cefazolin","Meropenem"
"9","Gentamicin","Cefazolin","Formula"
"10","Gentamicin","Cefazolin","m_amoxicillin"
"11","Gentamicin","Cefazolin","ARO.3001839ACT.18"
"12","Meropenem","Cefazolin","Formula"
"13","Meropenem","Cefazolin","m_amoxicillin"
"14","Meropenem","Cefazolin","ARO.3001839ACT.18"
"15","Formula","Cefazolin","m_amoxicillin"
"16","Formula","Cefazolin","ARO.3001839ACT.18"
"17","m_amoxicillin","Cefazolin","ARO.3001839ACT.18"
"18","r_Ampicillin","Ampicillin","Total.Antibiotic.Days"
"19","Gentamicin","Vancomycin","r_Vancomycin"
"20","Gentamicin","Vancomycin","ARO.3003052smeB"
"21","r_Vancomycin","Vancomycin","ARO.3003052smeB"
"22","Klebsiella.quasipneumoniae.abundance","Ticarcillin.Clavulanate","Enterobacteriaceae.bacterium.S05.PTR"
"23","Gentamicin","Total_abx","Meropenem"
"24","Gentamicin","Total_abx","r_TOTAL"
"25","Gentamicin","Total_abx","Caffeine"
"26","Meropenem","Total_abx","Vancomycin"
"27","Meropenem","Total_abx","r_TOTAL"
"28","Meropenem","Total_abx","Caffeine"
"29","Vancomycin","Total_abx","r_TOTAL"
"30","Vancomycin","Total_abx","Caffeine"
"31","r_TOTAL","Total_abx","Caffeine"
"32","Meropenem","r_Meropenem","r_TOTAL"
"33","Meropenem","r_Meropenem","Enterococcus.faecalis.abundance"
"34","Meropenem","r_Meropenem","ARO.3000215mecR1"
"35","r_TOTAL","r_Meropenem","Enterococcus.faecalis.abundance"
"36","r_TOTAL","r_Meropenem","ARO.3000215mecR1"
"37","Enterococcus.faecalis.abundance","r_Meropenem","ARO.3000215mecR1"
"38","Ticarcillin.Clavulanate","r_Ticarcillin.Clavulanate","r_Vancomycin"
"39","Ticarcillin.Clavulanate","r_Ticarcillin.Clavulanate","r_TOTAL"
"40","r_Vancomycin","r_TOTAL","ARO.3003052smeB"
"41","m_cefazolin","Maternal_Milk","ARO.3002819msrC"
"42","Human_Milk","Donor_Milk","Escherichia.coli.PTR"
"43","Human_Milk","Donor_Milk","Klebsiella.quasipneumoniae.PTR"
"44","Human_Milk","Donor_Milk","ARO.3000195tetB.P."
"45","Human_Milk","Donor_Milk","ARO.3000347ErmA"
"46","Escherichia.coli.PTR","Donor_Milk","Klebsiella.quasipneumoniae.PTR"
"47","Escherichia.coli.PTR","Donor_Milk","ARO.3000195tetB.P."
"48","Escherichia.coli.PTR","Donor_Milk","ARO.3000347ErmA"
"49","Klebsiella.quasipneumoniae.PTR","Donor_Milk","ARO.3000195tetB.P."
"50","Klebsiella.quasipneumoniae.PTR","Donor_Milk","ARO.3000347ErmA"
"51","ARO.3000195tetB.P.","Donor_Milk","ARO.3000347ErmA"
"52","Human_Milk","Fortification","Formula"
"53","Human_Milk","Fortification","ARO.3000190tetO"
"54","Formula","Fortification","Iron"
"55","Formula","Fortification","ARO.3000190tetO"
"56","Iron","Fortification","ARO.3000190tetO"
"57","ARO.3002647APH.3...IIIa","Vitamin_A","ARO.3003209FosA5"
"58","Human_Milk","Caffeine","ARO.3003209FosA5"
"59","Human_Milk","Caffeine","ARO.3004480Bifidobacterium"
"60","ARO.3003209FosA5","Caffeine","ARO.3004480Bifidobacterium"
"61","Human_Milk","Iron","ARO.3000195tetB.P."
"62","Meropenem","Furosemide_Lasix","Vancomycin"
"63","Meropenem","Furosemide_Lasix","ARO.3004611Escherichia"
"64","Vancomycin","Furosemide_Lasix","ARO.3004611Escherichia"
"65","m_amoxicillin","m_ampicillin","dur_membrane_rupture"
"66","m_amoxicillin","m_ampicillin","Bifidobacterium.longum.abundance"
"67","m_amoxicillin","m_ampicillin","ARO.3000412sul2"
"68","dur_membrane_rupture","m_ampicillin","Bifidobacterium.longum.abundance"
"69","dur_membrane_rupture","m_ampicillin","ARO.3000412sul2"
"70","Bifidobacterium.longum.abundance","m_ampicillin","ARO.3000412sul2"
"71","m_ampicillin","m_ceftriaxone","CRIB.II.Score"
"72","m_ampicillin","m_ceftriaxone","Citrobacter.freundii.PTR"
